Product_name,rating,summary,review,location,date,upvotes,downvotes,sentiment
realme Buds Wireless Bluetooth Headset,5,Fabulous!,I will tell you some hidden features that you might have not heard and will summarize my review as follows first:👉Sound quality is 4/5👉Build and quality 5/5👉Features 5/5👉Looks 5/5👉 Battery 6/5 yes its 6/5👌👉Overall price to product 5/5👈👌If your Budget allows you can buy them they are really greatNOW SOME HIDDEN Features not actually hidden but yah that many you have not heardRead the full para for correct infoThe major con you hear is that it doesn't have ⚡off button ⚡But...,Naraura,"Mar, 2020",7611,435,positive
realme Buds Wireless Bluetooth Headset,4,Good quality product,"PROS: best in budget, with a good bass most loved thing is 🔋 backup. 1hour charge gives minimum 10 ✌️🎧 enjoymentMagnetic attaching helps more to improve battery life more😍CONS:  (1)sec ..delay in sounds in pubg😑 the only disappointment in these, I bought this for pubg streaming but they bit late in sounds  I don't recommend these for pubg player and for gaming it's not worth  writing this after 1week  hope u find these a useful review 😘",Chilakaluripet,"Dec, 2019",2254,326,negative
realme Buds Wireless Bluetooth Headset,5,Terrific purchase,nice very beautiful Realme buds Very good soundbass quality very nice battery backup good,Kolkata,"Dec, 2019",852,155,positive
realme Buds Wireless Bluetooth Headset,5,Simply awesome,"in love with thisthe auto turn off when magnet sticks is very handy and saves batteryaudio quality good...balances between the highs and the lows good mids alsoi have used skullcandy inkd as well as boat rockerz 225as a comparison, skullcandy handles every frequencies without any distortion, gives a great quality and feel to the audioboat adds bass to the normal audio which makes it distorted at large volumes and long usage timescoming to realme, it is far beyond boat in terms of audio...",Thiruvananthapuram,"Nov, 2019",1389,290,positive
realme Buds Wireless Bluetooth Headset,4,Good quality product,"Everything is Good Only Bass is Little bit Less as compare to Boat Rockerz 255But Except Bass Overall Is Awesome And the most amazing Function is Auto connect, when separate ear buds from each other it's connect automatically with previousaly connected device within 2-3 secon. Battery backup is also good as They commit. 10-12 Hr And. fast Charging. The  most Attractive Design which looks Too good with premium Material and Comfortable Ear Buds. Go for it.",Greater Noida,"Jan, 2020",150,26,positive
realme Buds Wireless Bluetooth Headset,5,Excellent,I am writing this review after using this product for 3 weeks and I am very happy with this product I am giving it five star ???? ? ? I must say it is a very nice product and you can buy this product blindfold it is a very great battery backup and the song quality is very very nice and it is light and easy to use,New Delhi,"Jan, 2020",197,39,negative
realme Buds Wireless Bluetooth Headset,5,Super!,"These earbuds are the best you could buy. good build quality, excellent sound and bass. Mic works excellent even while riding a bike. Audio is clear and the battery last long too. Idk exact hours.Realme, you've outdone it😍",Bengaluru,"Dec, 2019",114,24,negative
realme Buds Wireless Bluetooth Headset,4,Delightful,"After using Portronics Harmonics 208 and many research I found a good wireless headset( Realme Buds ).One of my friends using boat225, all god but disappointed with voice clarity and built quality.RealmeProsMagnetic standby, awesome feature saves battery.Google assistant.Sound & Built quality is good.Soft buttons.Fits good and perfect in shape.Voice cancellation while speaking is excellent.Wire size is good not too long, not too short.ConsWhile not speaking other person can hea...",Khandwa,"Feb, 2020",106,31,negative
realme Buds Wireless Bluetooth Headset,5,Worth every penny,"This is my genuine review after the use of 7 days ki The perfect wireless headphone in this range infact more than perfect .There are no cons in this earphoneSome highlighted pros due to which , daily & daily u will fall in love with it & always think urSELF Fortunate  are:A+ battery lifeA+Sound qualityMagnetic function is super 😘",Kulti,"Dec, 2019",114,46,positive
realme Buds Wireless Bluetooth Headset,1,Did not meet expectations,"I'm a music producer and I find this earphones good but it's not worth the price, you can choose one plus instead or infinity by jbl for crystal clear sound quality, real me buds is loud cause of the driver (11.2) but it's not clear and you'll get a head ache after using it for a while , they say it has good bass but it doesn't , if you want good bass and clear sound of each and every instrument, go for one plus, jbl , infinity, skull candy or sony. Don't but real me buds",Bengaluru,9 months ago,172,293,positive
realme Buds Wireless Bluetooth Headset,5,Fabulous!,Amazing,,Today,0,0,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific purchase,"first of all with mi 18 watt charger,it got full charged in 20mins.that was amazing and 16-18hrs playtime is best at this price range.I searched for a wireless earphone and bought many but finally settled with this.sound quality is good but build quality is premium.overall i would say it is the best earphone to go with and I guarantee you will not regret.drop like if you find it useful.",Kolkata,9 months ago,1339,160,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Fabulous!,"I am using this product from 2 daysLet me share with you my experienceThis is my genuine and humble review 1st the delivery of flipkart is too good and then awesome packingThen comming to productThe experience of sound is really great we catch every instrumental sounds clearly and be joyful while listening and my rating is 4/5And then about bass, actually I expected too about bass boost but it not reached then that just good actually but I satisfied with that and my rating is 3/5Then ...",Nalgonda District,9 months ago,520,65,negative
OnePlus Bullets Wireless Z Bluetooth Headset,5,Worth every penny,LONG BUT WORTH READING.Honest review after one week. Just go for it. Dont get affected by negative reviews. Totally worth every penny and far ahead of its competition. The battery backup is splendid. Sound quality is very good nothing to complain here. Comfortable in the ears. Connectivity perfect. I haven't experienced any lag with normal media usage. I am a student and watch video lectures at sometimes 2x speed and never once I faced voice lag while changing video speed. Just go for it. Ju...,Arrah,9 months ago,1383,200,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,writing review after using it for two days ..first of all its having best battery backup among other wireless headphones.only drained 20% battery aftr usage of some 8hrs.. build quality is above the mark.. bass wise its lil low.. bt its ok .. go for it .. it wont disappoint you .. a great thumbs-up for flipkart delivery teams👍🏻👍🏻,Kollam District,10 months ago,146,21,negative
OnePlus Bullets Wireless Z Bluetooth Headset,5,Simply awesome,The bass provided is a decent one and the sound clarity is pretty good.And all the other features are exceptional.U can surely go for this one for the price range..will not regeret.,Ernakulam District,10 months ago,941,186,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Simply awesome,"ONEPLUS THE BEST 🌟Crystal clear sound .Treble & Bass are well balanced.Bass is developed compared to OP Bullets 2 .Massive Battery Backup within 10-15minutes of charging.Built Quality is too good which gives premium feel .Magnetic On/Off will be very much useful .Finally , OnePlus gave us the best affordable wireless earphones 🌟 🌟 🌟 🌟 🌟",Visakhapatnam,10 months ago,112,17,positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Nice product,"Thanks to flipkart fot super fast delivery in our rural area.Got it within 3 days.Super earphones using it for online pg classes,comes with handy backup hrs.5/5 for sound quality4/5 for bass(not as high,for competitor like sony310,or realme wireless)5/5 for build qualityWill rewrite a review after a month use",Rajnandgaon,10 months ago,192,36,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Highly recommended,"😇No more tangles n dangling!! Loved it! Sweetest thing about this is, we can do our works FREELY or even go washroom with music on us..🤣 I would say, Go for it👉 feel that energy!Well packed, class look And of course, the sound quality is GreAttt!!🤩 (I admit I'm a bit excited)And thanks to Flipkart for a quick n safe delivery 🤗",Ernakulam District,10 months ago,789,183,positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,"Looking nice product...I got just 1day delivery..11th I ordered...12th I received...in this price range this product is no1..I got blue...i gift to dear one.. must buy.. don't go other products on this price range is this best....next level headset...no other gives this much battery life 20hrs...mind blowing OnePlus bullet z.. presently I'm using realme wireless buds, both are best in this segment but OnePlus is more battery life n extra multiple device connectivity button n latest design...",Tumkur,10 months ago,896,223,positive
realme Buds 2 Wired Headset,5,Highly recommended,Nice head set good fit nice quality good to handily poli aytem anu magnet pora kolllam migacha aytem,Chengannur,9 months ago,924,145,positive
realme Buds 2 Wired Headset,5,Terrific purchase,The build quality is really good and the design also looks great. The magnets of earbuds are also really useful. The best part is the cable organizer which is really useful. The bass is good and the sound quality is also good you will not be disappointed buying this product at this price. The call quality is also good and the placement of buttons is very functional and useful. Buy without any doubt.,Koregaon,9 months ago,233,37,positive
realme Buds 2 Wired Headset,5,Classy product,"outstanding product  best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌",Sangli District,"Jan, 2020",157,22,positive
realme Buds 2 Wired Headset,5,Terrific,"woww fantastic experience 😍 👍 and mainly discuss about this earphones is built quality is awesome 👌👍im fully satisfied with this earphones 👌👌👍   prons 1. built quality is awesome2. sound quality is just super 3. bass , treble,mid ranges are just good4. long and comfortable cable cons 1. missed L shape jackfinally my overall rating is 9.6 /10",Kondapalli,"Jan, 2020",232,55,positive
realme Buds 2 Wired Headset,5,Terrific,Unbelievable bass And very clear audio ear protection very strong I really prefer to purchase this fantastic realme buds thank you very much realme,Fatahnagar,"Mar, 2020",107,22,positive
realme Buds 2 Wired Headset,5,Excellent,nice earphones with smooth sound. even the build quality is best . this earphone is better for bass lover . and also  for smooth playback,Mumbai,"Jan, 2020",293,75,positive
